id_servicios,Cuestionario
57,"{""Pregunta_1"":""4"",""Pregunta_2"":""4"",""Pregunta_3"":""4"",""Pregunta_4"":""4"",""Pregunta_5"":""4"",""Pregunta_6"":""4"",""Pregunta_7"":""4"",""Pregunta_8"":""4"",""Pregunta_9"":""4"",""Pregunta_10"":""1"",""comentario"":""Escribe aqu\u00ed tus comentarios. (Recuerda borrar este texto antes de escribir tu comentario)""}"
58,"{""Pregunta_1"":""4"",""Pregunta_2"":""4"",""Pregunta_3"":""4"",""Pregunta_4"":""4"",""Pregunta_5"":""4"",""Pregunta_6"":""3"",""Pregunta_7"":""4"",""Pregunta_8"":""4"",""Pregunta_9"":""4"",""Pregunta_10"":""3"",""comentario"":"" ""}"
59,"{""Pregunta_1"":""4"",""Pregunta_2"":""4"",""Pregunta_3"":""4"",""Pregunta_4"":""4"",""Pregunta_5"":""3"",""Pregunta_6"":""4"",""Pregunta_7"":""4"",""Pregunta_8"":""4"",""Pregunta_9"":""4"",""Pregunta_10"":""4"",""comentario"":""excelente personal de servicio administrativo desde mi  opini\u00f3n si muestran los valores con los que navega la instituci\u00f3n, sobre todo con la empat\u00eda que tienen para algunos de los alumnos, saludos en general y felices fiestas una menci\u00f3n honorifica para la Lic. Sandra bustillo que es una excelente coordinadora ""}"
60,"{""Pregunta_1"":""4"",""Pregunta_2"":""4"",""Pregunta_3"":""4"",""Pregunta_4"":""4"",""Pregunta_5"":""4"",""Pregunta_6"":""4"",""Pregunta_7"":""4"",""Pregunta_8"":""4"",""Pregunta_9"":""4"",""Pregunta_10"":""4"",""comentario"":""Escribe aqu\u00ed tus comentarios. (Recuerda borrar este texto antes de escribir tu comentario)""}"
61,"{""Pregunta_1"":""3"",""Pregunta_2"":""3"",""Pregunta_3"":""2"",""Pregunta_4"":""4"",""Pregunta_5"":""4"",""Pregunta_6"":""3"",""Pregunta_7"":""4"",""Pregunta_8"":""3"",""Pregunta_9"":""3"",""Pregunta_10"":""4"",""comentario"":""""}"
62,"{""Pregunta_1"":""3"",""Pregunta_2"":""2"",""Pregunta_3"":""3"",""Pregunta_4"":""3"",""Pregunta_5"":""3"",""Pregunta_6"":""3"",""Pregunta_7"":""3"",""Pregunta_8"":""3"",""Pregunta_9"":""3"",""Pregunta_10"":""3"",""comentario"":""Escribe aqu\u00ed tus comentarios. (Recuerda borrar este texto antes de escribir tu comentario)""}"
63,"{""Pregunta_1"":""4"",""Pregunta_2"":""4"",""Pregunta_3"":""4"",""Pregunta_4"":""4"",""Pregunta_5"":""4"",""Pregunta_6"":""4"",""Pregunta_7"":""4"",""Pregunta_8"":""4"",""Pregunta_9"":""4"",""Pregunta_10"":""4"",""comentario"":""Que todo los docentes son muy ecelentes maestros y apoyan en todo ""}"
64,"{""Pregunta_1"":""4"",""Pregunta_2"":""4"",""Pregunta_3"":""4"",""Pregunta_4"":""4"",""Pregunta_5"":""4"",""Pregunta_6"":""3"",""Pregunta_7"":""3"",""Pregunta_8"":""3"",""Pregunta_9"":""4"",""Pregunta_10"":""4"",""comentario"":""Es una buena universidad y su personal es bueno me gusta ""}"
65,"{""Pregunta_1"":""4"",""Pregunta_2"":""4"",""Pregunta_3"":""4"",""Pregunta_4"":""4"",""Pregunta_5"":""4"",""Pregunta_6"":""4"",""Pregunta_7"":""4"",""Pregunta_8"":""4"",""Pregunta_9"":""4"",""Pregunta_10"":""4"",""comentario"":""Escribe aqu\u00ed tus comentarios. (Recuerda borrar este texto antes de escribir tu comentario)""}"
66,"{""Pregunta_1"":""4"",""Pregunta_2"":""3"",""Pregunta_3"":""4"",""Pregunta_4"":""3"",""Pregunta_5"":""4"",""Pregunta_6"":""4"",""Pregunta_7"":""4"",""Pregunta_8"":""4"",""Pregunta_9"":""4"",""Pregunta_10"":""4"",""comentario"":""Otorgan una amplia disponibilidad y siempre capaces de atenderte con la mejor disposici\u00f3n ""}"
